[2023-05-06 22:52:04,371][__main__][INFO] - Training seed 0 for 200000 timesteps with DDPGAgent and NormalReplayBuffer
[2023-05-06 23:32:13,498][core][INFO] - Seed: 42, Step: 30000, Eval mean: -34.41221103668213, Eval std: 18.521634409414958
[2023-05-06 23:33:10,960][core][INFO] - Seed: 42, Step: 35000, Eval mean: -70.24969253540038, Eval std: 18.16047645314702
[2023-05-06 23:34:01,589][core][INFO] - Seed: 42, Step: 40000, Eval mean: -79.80647048950195, Eval std: 16.397836871598248
[2023-05-06 23:34:55,032][core][INFO] - Seed: 42, Step: 45000, Eval mean: -99.06178131103516, Eval std: 20.007952150960687
[2023-05-06 23:35:49,625][core][INFO] - Seed: 42, Step: 50000, Eval mean: -73.55225715637206, Eval std: 29.910449805011577
[2023-05-06 23:36:44,400][core][INFO] - Seed: 42, Step: 55000, Eval mean: 35.03782844543457, Eval std: 101.2723135700988
[2023-05-06 23:37:38,397][core][INFO] - Seed: 42, Step: 60000, Eval mean: -45.409943389892575, Eval std: 12.894244219235546
[2023-05-06 23:38:31,770][core][INFO] - Seed: 42, Step: 65000, Eval mean: -47.820251083374025, Eval std: 14.050985730168666
[2023-05-06 23:39:22,484][core][INFO] - Seed: 42, Step: 70000, Eval mean: 92.94172668457031, Eval std: 141.0057018886951
[2023-05-06 23:40:10,949][core][INFO] - Seed: 42, Step: 75000, Eval mean: 217.89884033203126, Eval std: 29.78877750007751
[2023-05-06 23:40:59,814][core][INFO] - Seed: 42, Step: 80000, Eval mean: 146.80407752990723, Eval std: 79.80220947916169
[2023-05-06 23:41:46,613][core][INFO] - Seed: 42, Step: 85000, Eval mean: 176.13206253051757, Eval std: 119.7044342292777
[2023-05-06 23:42:35,377][core][INFO] - Seed: 42, Step: 90000, Eval mean: 34.43641662597656, Eval std: 143.14963760285445
[2023-05-06 23:43:26,446][core][INFO] - Seed: 42, Step: 95000, Eval mean: 103.65816955566406, Eval std: 93.58091694626022
[2023-05-06 23:44:16,258][core][INFO] - Seed: 42, Step: 100000, Eval mean: 144.5759506225586, Eval std: 108.29943384564008
[2023-05-06 23:45:08,520][core][INFO] - Seed: 42, Step: 105000, Eval mean: 128.09107208251953, Eval std: 95.58901451832746
[2023-05-06 23:45:53,131][core][INFO] - Seed: 42, Step: 110000, Eval mean: 211.48243103027343, Eval std: 25.512334290761117
[2023-05-06 23:46:39,509][core][INFO] - Seed: 42, Step: 115000, Eval mean: 129.33674659729004, Eval std: 128.88002286109517
[2023-05-06 23:47:29,902][core][INFO] - Seed: 42, Step: 120000, Eval mean: 64.3559591293335, Eval std: 84.23500818465523
[2023-05-06 23:48:14,722][core][INFO] - Seed: 42, Step: 125000, Eval mean: 163.42158164978028, Eval std: 91.41418724090256
[2023-05-06 23:49:00,063][core][INFO] - Seed: 42, Step: 130000, Eval mean: 103.01781616210937, Eval std: 139.94258392648393
[2023-05-06 23:49:43,843][core][INFO] - Seed: 42, Step: 135000, Eval mean: 204.4450439453125, Eval std: 23.248721086779177
[2023-05-06 23:50:30,332][core][INFO] - Seed: 42, Step: 140000, Eval mean: 161.79515647888184, Eval std: 101.33720823036823
[2023-05-06 23:51:13,874][core][INFO] - Seed: 42, Step: 145000, Eval mean: 239.65540161132813, Eval std: 12.21215631744452
[2023-05-06 23:51:57,940][core][INFO] - Seed: 42, Step: 150000, Eval mean: 195.58014221191405, Eval std: 106.33518508410911
[2023-05-06 23:52:46,376][core][INFO] - Seed: 42, Step: 155000, Eval mean: 110.83511524200439, Eval std: 125.66541621622459
[2023-05-06 23:53:33,477][core][INFO] - Seed: 42, Step: 160000, Eval mean: 195.645263671875, Eval std: 110.36344034717825
[2023-05-06 23:54:20,471][core][INFO] - Seed: 42, Step: 165000, Eval mean: 158.34319763183595, Eval std: 104.08391193956354
[2023-05-06 23:55:04,994][core][INFO] - Seed: 42, Step: 170000, Eval mean: 193.7638687133789, Eval std: 123.58828023869509
[2023-05-06 23:55:49,883][core][INFO] - Seed: 42, Step: 175000, Eval mean: 191.42833862304687, Eval std: 64.49467878335602
[2023-05-06 23:56:32,318][core][INFO] - Seed: 42, Step: 180000, Eval mean: 250.91248168945313, Eval std: 28.15934743438282
[2023-05-06 23:57:18,012][core][INFO] - Seed: 42, Step: 185000, Eval mean: 260.8329742431641, Eval std: 9.646396260113011
[2023-05-06 23:58:01,678][core][INFO] - Seed: 42, Step: 190000, Eval mean: 261.3259002685547, Eval std: 10.354750852450758
[2023-05-06 23:58:44,823][core][INFO] - Seed: 42, Step: 195000, Eval mean: 194.83320007324218, Eval std: 131.31604121038902
[2023-05-06 23:59:27,593][core][INFO] - Seed: 42, Step: 200000, Eval mean: 270.34942321777345, Eval std: 17.837637181186224
[2023-05-06 23:59:39,398][__main__][INFO] - Finish training seed 42 with everage eval mean: 270.34942321777345
[2023-05-06 23:59:39,414][__main__][INFO] - Training seed 3407 for 200000 timesteps with DDPGAgent and NormalReplayBuffer
[2023-05-07 00:00:30,606][core][INFO] - Seed: 3407, Step: 5000, Eval mean: -231.15301513671875, Eval std: 78.61191725754962
[2023-05-07 00:01:26,275][core][INFO] - Seed: 3407, Step: 10000, Eval mean: -132.26703567504882, Eval std: 47.358314962780966
[2023-05-07 00:02:26,057][core][INFO] - Seed: 3407, Step: 15000, Eval mean: -232.28091278076172, Eval std: 62.89066096813835
[2023-05-07 00:03:08,877][core][INFO] - Seed: 3407, Step: 20000, Eval mean: -314.08510437011716, Eval std: 51.80655393264556
