[2023-05-06 23:56:01,021][__main__][INFO] - Training seed 0 for 200000 timesteps with TD3Agent and NormalReplayBuffer
[2023-05-07 00:32:39,658][core][INFO] - Seed: 42, Step: 30000, Eval mean: -171.81383361816407, Eval std: 90.50822863753787
[2023-05-07 00:33:31,430][core][INFO] - Seed: 42, Step: 35000, Eval mean: -86.41081008911132, Eval std: 29.576602041210382
[2023-05-07 00:34:20,542][core][INFO] - Seed: 42, Step: 40000, Eval mean: -48.768552631139755, Eval std: 41.68545962407664
[2023-05-07 00:35:10,091][core][INFO] - Seed: 42, Step: 45000, Eval mean: -22.687819957733154, Eval std: 24.37923513580325
[2023-05-07 00:35:59,661][core][INFO] - Seed: 42, Step: 50000, Eval mean: -66.79268646240234, Eval std: 9.681694954885291
[2023-05-07 00:36:48,413][core][INFO] - Seed: 42, Step: 55000, Eval mean: -76.94952087402343, Eval std: 31.381411953096258
[2023-05-07 00:37:40,961][core][INFO] - Seed: 42, Step: 60000, Eval mean: -87.81139526367187, Eval std: 18.02364321798007
[2023-05-07 00:38:33,393][core][INFO] - Seed: 42, Step: 65000, Eval mean: -64.0296748638153, Eval std: 51.39307710640882
[2023-05-07 00:39:24,373][core][INFO] - Seed: 42, Step: 70000, Eval mean: -78.46967239379883, Eval std: 42.986888780208346
[2023-05-07 00:40:20,700][core][INFO] - Seed: 42, Step: 75000, Eval mean: -38.6806921005249, Eval std: 17.89771570642664
[2023-05-07 00:41:15,223][core][INFO] - Seed: 42, Step: 80000, Eval mean: -60.30759048461914, Eval std: 37.376412206172915
[2023-05-07 00:42:10,955][core][INFO] - Seed: 42, Step: 85000, Eval mean: -79.97169647216796, Eval std: 36.51693218459035
[2023-05-07 00:43:07,079][core][INFO] - Seed: 42, Step: 90000, Eval mean: -34.154460430145264, Eval std: 22.50340396486987
[2023-05-07 00:44:00,314][core][INFO] - Seed: 42, Step: 95000, Eval mean: -54.79744873046875, Eval std: 8.327467613987952
[2023-05-07 00:44:56,871][core][INFO] - Seed: 42, Step: 100000, Eval mean: -50.87270793914795, Eval std: 36.8834430363536
[2023-05-07 00:45:51,247][core][INFO] - Seed: 42, Step: 105000, Eval mean: -22.946862602233885, Eval std: 21.8669292524287
[2023-05-07 00:46:48,641][core][INFO] - Seed: 42, Step: 110000, Eval mean: -17.71704320907593, Eval std: 15.978684833099669
